season,award,pemain,link,tim,hadiah
15,Second Team Winner,Baloyskie,/mobilelegends/Baloyskie,Geek Fam ID,
15,Dream Team,Dyrennn,/mobilelegends/Dyrennn,RRQ Hoshi,$122.70
15,Dream Team,Sutsujin,/mobilelegends/Sutsujin,RRQ Hoshi,
15,Dream Team,Rinz,/mobilelegends/Rinz,RRQ Hoshi,
15,Dream Team,Toyy,/mobilelegends/Toyy,RRQ Hoshi,
15,Dream Team,Idok,/mobilelegends/Idok,RRQ Hoshi,
15,Week 1 MVP,Alberttt,/mobilelegends/Alberttt,EVOS,
15,Week 2 MVP,Idok,/mobilelegends/Idok,RRQ Hoshi,
15,Week 3 MVP,Idok,/mobilelegends/Idok,RRQ Hoshi,
15,Week 4 MVP,Anavel,/mobilelegends/Anavel,Bigetron Esports,
15,Week 5 MVP,Moreno,/mobilelegends/Moreno,Bigetron Esports,
15,Week 6 MVP,Kairi,/mobilelegends/Kairi,ONIC,
15,Week 7 MVP,Idok,/mobilelegends/Idok,RRQ Hoshi,
15,Week 8 MVP,EMANN,/mobilelegends/EMANN,Bigetron Esports,
15,Week 9 MVP,Sanz,/mobilelegends/S_A_N_Z,ONIC,
15,Week 1 Best Rookie,Toyy,/mobilelegends/Toyy,RRQ Hoshi,
15,Week 2 Best Rookie,Rinee,/mobilelegends/Rinee,Alter Ego,
15,Week 3 Best Rookie,Toyy,/mobilelegends/Toyy,RRQ Hoshi,
15,Week 4 Best Rookie,Maybe,/mobilelegends/Maybeee,Dewa United Esports,
15,Week 5 Best Rookie,Kyou,/mobilelegends/Kyou,Team Liquid ID,
15,Week 6 Best Rookie,Maykids,/mobilelegends/Maykids,Geek Fam ID,
15,Week 7 Best Rookie,Toyy,/mobilelegends/Toyy,RRQ Hoshi,
15,Week 8 Best Rookie,Maykids,/mobilelegends/Maykids,Geek Fam ID,
15,Week 9 Best Rookie,Savero,/mobilelegends/Savero,ONIC,
15,Team of The Week #9,Dyrennn,/mobilelegends/Dyrennn,RRQ Hoshi,
15,Team of The Week #9,Kairi,/mobilelegends/Kairi,ONIC,
15,Team of The Week #9,Sanz,/mobilelegends/S_A_N_Z,ONIC,
15,Team of The Week #9,Savero,/mobilelegends/Savero,ONIC,
15,Team of The Week #9,Widy,/mobilelegends/Widy,Team Liquid ID,
15,Team of The Week #8,Dyrennn,/mobilelegends/Dyrennn,RRQ Hoshi,
15,Team of The Week #8,Maykids,/mobilelegends/Maykids,Geek Fam ID,
15,Team of The Week #8,Moreno,/mobilelegends/Moreno,Bigetron Esports,
15,Team of The Week #8,EMANN,/mobilelegends/EMANN,Bigetron Esports,
15,Team of The Week #8,Baloyskie,/mobilelegends/Baloyskie,Geek Fam ID,
15,Team of The Week #7,Aran,/mobilelegends/Aran,Team Liquid ID,
15,Team of The Week #7,Rinee,/mobilelegends/Rinee,Alter Ego,
15,Team of The Week #7,Sanz,/mobilelegends/S_A_N_Z,ONIC,
15,Team of The Week #7,Toyy,/mobilelegends/Toyy,RRQ Hoshi,
15,Team of The Week #7,Idok,/mobilelegends/Idok,RRQ Hoshi,
15,Team of The Week #6,Lutpii,/mobilelegends/Lutpiii,ONIC,
15,Team of The Week #6,Kairi,/mobilelegends/Kairi,ONIC,
15,Team of The Week #6,Sanz,/mobilelegends/S_A_N_Z,ONIC,
15,Team of The Week #6,Savero,/mobilelegends/Savero,ONIC,
15,Team of The Week #6,Baloyskie,/mobilelegends/Baloyskie,Geek Fam ID,
15,Team of The Week #5,Aran,/mobilelegends/Aran,Team Liquid ID,
15,Team of The Week #5,Sutsujin,/mobilelegends/Sutsujin,RRQ Hoshi,
15,Team of The Week #5,Moreno,/mobilelegends/Moreno,Bigetron Esports,
15,Team of The Week #5,Kyou,/mobilelegends/Kyou,Team Liquid ID,
15,Team of The Week #5,Finn,/mobilelegends/Finn,Bigetron Esports,
15,Team of The Week #4,Luke,/mobilelegends/Luke,Bigetron Esports,
15,Team of The Week #4,Anavel,/mobilelegends/Anavel,Bigetron Esports,
15,Team of The Week #4,Moreno,/mobilelegends/Moreno,Bigetron Esports,
15,Team of The Week #4,EMANN,/mobilelegends/EMANN,Bigetron Esports,
15,Team of The Week #4,Baloyskie,/mobilelegends/Baloyskie,Geek Fam ID,
15,Team of The Week #3,Dyrennn,/mobilelegends/Dyrennn,RRQ Hoshi,
15,Team of The Week #3,Hazle,/mobilelegends/Hazle,RRQ Hoshi,
15,Team of The Week #3,Rinz,/mobilelegends/Rinz,RRQ Hoshi,
15,Team of The Week #3,Toyy,/mobilelegends/Toyy,RRQ Hoshi,
15,Team of The Week #3,Idok,/mobilelegends/Idok,RRQ Hoshi,
15,Team of The Week #2,Nino,/mobilelegends/Nino,Alter Ego,
15,Team of The Week #2,Rinee,/mobilelegends/Rinee,Alter Ego,
15,Team of The Week #2,Rinz,/mobilelegends/Rinz,RRQ Hoshi,
15,Team of The Week #2,Haiz,/mobilelegends/Haiz,Alter Ego,
15,Team of The Week #2,Idok,/mobilelegends/Idok,RRQ Hoshi,
15,Team of The Week #1,Nino,/mobilelegends/Nino,Alter Ego,
15,Team of The Week #1,Alberttt,/mobilelegends/Alberttt,EVOS,
15,Team of The Week #1,Natco,/mobilelegends/Natco,EVOS,
15,Team of The Week #1,Toyy,/mobilelegends/Toyy,RRQ Hoshi,
15,Team of The Week #1,Kyy,/mobilelegends/Kyy,EVOS,
16,Finals MVP,Kairi,/mobilelegends/Kairi,ONIC,"$1,682.94"
16,Regular Season MVP,S A N Z,/mobilelegends/S_A_N_Z,ONIC,$901.58
16,Rookie Of The Season,Shogun,/mobilelegends/Shogun,Bigetron by Vitality,$360.63
16,Most Improved Player,Octa,/mobilelegends/Octa,Dewa United Esports,$360.63
16,First Team Winner,Shogun,/mobilelegends/Shogun,Bigetron by Vitality,$360.63
16,First Team Winner,Kairi,/mobilelegends/Kairi,ONIC,
16,First Team Winner,S A N Z,/mobilelegends/S_A_N_Z,ONIC,
16,First Team Winner,EMANN,/mobilelegends/EMANN,Bigetron by Vitality,
16,First Team Winner,Kiboy,/mobilelegends/Kiboy,ONIC,
16,Best Coaching Team,ONIC,/mobilelegends/ONIC,ONIC,$180.32
16,Second Team Winner,Lutpii,/mobilelegends/Lutpiii,ONIC,$240.42
16,Second Team Winner,Nnael,/mobilelegends/Nnael,Bigetron by Vitality,
16,Second Team Winner,Moreno,/mobilelegends/Moreno,Bigetron by Vitality,
16,Second Team Winner,Skylar,/mobilelegends/Skylar,ONIC,
16,Second Team Winner,alekk,/mobilelegends/Alekk,Alter Ego,
16,Dream Team,Lutpii,/mobilelegends/Lutpiii,ONIC,$120.21
16,Dream Team,Kairi,/mobilelegends/Kairi,ONIC,
16,Dream Team,S A N Z,/mobilelegends/S_A_N_Z,ONIC,
16,Dream Team,Skylar,/mobilelegends/Skylar,ONIC,
16,Dream Team,Kiboy,/mobilelegends/Kiboy,ONIC,
16,Week 1 MVP,S A N Z,/mobilelegends/S_A_N_Z,ONIC,
16,Week 2 MVP,Shogun,/mobilelegends/Shogun,Bigetron by Vitality,
16,Week 3 MVP,Kairi,/mobilelegends/Kairi,ONIC,
16,Week 4 MVP,S A N Z,/mobilelegends/S_A_N_Z,ONIC,
16,Week 5 MVP,Nnael,/mobilelegends/Nnael,Bigetron by Vitality,
16,Week 6 MVP,EMANN,/mobilelegends/EMANN,Bigetron by Vitality,
16,Week 7 MVP,Baloyskie,/mobilelegends/Baloyskie,Geek Fam ID,
16,Week 8 MVP,EMANN,/mobilelegends/EMANN,Bigetron by Vitality,
16,Week 9 MVP,Moreno,/mobilelegends/Moreno,Bigetron by Vitality,
16,Week 1 Best Rookie,Cyruz,/mobilelegends/Cyruz,Alter Ego,
16,Week 2 Best Rookie,QINN,/mobilelegends/QINN,Dewa United Esports,
16,Week 3 Best Rookie,Rendyy,/mobilelegends/index.php?title=Rendyy&action=edit&redlink=1,EVOS,
16,Week 4 Best Rookie,Shogun,/mobilelegends/Shogun,Bigetron by Vitality,
16,Week 5 Best Rookie,QINN,/mobilelegends/QINN,Dewa United Esports,
16,Week 6 Best Rookie,QINN,/mobilelegends/QINN,Dewa United Esports,
16,Week 7 Best Rookie,Rendyy,/mobilelegends/index.php?title=Rendyy&action=edit&redlink=1,EVOS,
16,Week 8 Best Rookie,Shogun,/mobilelegends/Shogun,Bigetron by Vitality,
16,Week 9 Best Rookie,QINN,/mobilelegends/QINN,Dewa United Esports,
16,Team of The Week #9,Nino,/mobilelegends/Nino,Alter Ego,
16,Team of The Week #9,Nnael,/mobilelegends/Nnael,Bigetron by Vitality,
16,Team of The Week #9,Moreno,/mobilelegends/Moreno,Bigetron by Vitality,
16,Team of The Week #9,EMANN,/mobilelegends/EMANN,Bigetron by Vitality,
16,Team of The Week #9,Kiboy,/mobilelegends/Kiboy,ONIC,
16,Team of The Week #8,Shogun,/mobilelegends/Shogun,Bigetron by Vitality,
16,Team of The Week #8,Nnael,/mobilelegends/Nnael,Bigetron by Vitality,
16,Team of The Week #8,Moreno,/mobilelegends/Moreno,Bigetron by Vitality,
16,Team of The Week #8,EMANN,/mobilelegends/EMANN,Bigetron by Vitality,
16,Team of The Week #8,Widy,/mobilelegends/Widy,Team Liquid ID,
16,Team of The Week #7,Rendyy,/mobilelegends/index.php?title=Rendyy&action=edit&redlink=1,EVOS,
16,Team of The Week #7,Kairi,/mobilelegends/Kairi,ONIC,
16,Team of The Week #7,S A N Z,/mobilelegends/S_A_N_Z,ONIC,
16,Team of The Week #7,Erlan,/mobilelegends/Erlan,EVOS,
16,Team of The Week #7,Baloyskie,/mobilelegends/Baloyskie,Geek Fam ID,
16,Team of The Week #6,QINN,/mobilelegends/QINN,Dewa United Esports,
16,Team of The Week #6,Kairi,/mobilelegends/Kairi,ONIC,
16,Team of The Week #6,S A N Z,/mobilelegends/S_A_N_Z,ONIC,
16,Team of The Week #6,EMANN,/mobilelegends/EMANN,Bigetron by Vitality,
16,Team of The Week #6,alekk,/mobilelegends/Alekk,Alter Ego,
16,Team of The Week #5,QINN,/mobilelegends/QINN,Dewa United Esports,
16,Team of The Week #5,Nnael,/mobilelegends/Nnael,Bigetron by Vitality,
16,Team of The Week #5,S A N Z,/mobilelegends/S_A_N_Z,ONIC,
16,Team of The Week #5,Skylar,/mobilelegends/Skylar,ONIC,
16,Team of The Week #5,Kiboy,/mobilelegends/Kiboy,ONIC,
16,Team of The Week #4,Shogun,/mobilelegends/Shogun,Bigetron by Vitality,
16,Team of The Week #4,Kairi,/mobilelegends/Kairi,ONIC,
16,Team of The Week #4,S A N Z,/mobilelegends/S_A_N_Z,ONIC,
16,Team of The Week #4,EMANN,/mobilelegends/EMANN,Bigetron by Vitality,
16,Team of The Week #4,Kiboy,/mobilelegends/Kiboy,ONIC,
16,Team of The Week #3,Rendyy,/mobilelegends/index.php?title=Rendyy&action=edit&redlink=1,EVOS,
16,Team of The Week #3,Kairi,/mobilelegends/Kairi,ONIC,
16,Team of The Week #3,S A N Z,/mobilelegends/S_A_N_Z,ONIC,
16,Team of The Week #3,EMANN,/mobilelegends/EMANN,Bigetron by Vitality,
16,Team of The Week #3,Kiboy,/mobilelegends/Kiboy,ONIC,
16,Team of The Week #2,QINN,/mobilelegends/QINN,Dewa United Esports,
16,Team of The Week #2,Kairi,/mobilelegends/Kairi,ONIC,
16,Team of The Week #2,S A N Z,/mobilelegends/S_A_N_Z,ONIC,
16,Team of The Week #2,EMANN,/mobilelegends/EMANN,Bigetron by Vitality,
16,Team of The Week #2,Idok,/mobilelegends/Idok,RRQ Hoshi,
16,Team of The Week #1,Lutpiii,/mobilelegends/Lutpiii,ONIC,
16,Team of The Week #1,Kairi,/mobilelegends/Kairi,ONIC,
16,Team of The Week #1,S A N Z,/mobilelegends/S_A_N_Z,ONIC,
16,Team of The Week #1,KennzyySkie,/mobilelegends/KennzyySkie,Geek Fam ID,
16,Team of The Week #1,Baloyskie,/mobilelegends/Baloyskie,Geek Fam ID,
17,Finals MVP,Moreno,/mobilelegends/Moreno,Bigetron by Vitality,"$1,574.87"
17,Regular Season MVP,Kelra,/mobilelegends/Kelra,ONIC,$843.68
17,Rookie Of The Season,Drichel,/mobilelegends/index.php?title=Drichel&action=edit&redlink=1,Team Liquid ID,$562.45
17,Most Improved Player,Kevinn,/mobilelegends/index.php?title=JOOOOO&action=edit&redlink=1,Team Liquid ID,$337.47
17,First Team Winner,Aran,/mobilelegends/Aran,Team Liquid ID,$337.47
17,First Team Winner,Kairi,/mobilelegends/Kairi,ONIC,
17,First Team Winner,S A N Z,/mobilelegends/S_A_N_Z,ONIC,
17,First Team Winner,Kelra,/mobilelegends/Kelra,ONIC,
17,First Team Winner,Kiboy,/mobilelegends/Kiboy,ONIC,
17,Best Coaching Team,Team Liquid ID,/mobilelegends/Team_Liquid_ID,Team Liquid ID,$168.74
17,Second Team Winner,Lutpii,/mobilelegends/Lutpiii,ONIC,$224.98
17,Second Team Winner,Kevinn,/mobilelegends/index.php?title=JOOOOO&action=edit&redlink=1,Team Liquid ID,
17,Second Team Winner,Moreno,/mobilelegends/Moreno,Bigetron by Vitality,
17,Second Team Winner,EMANN,/mobilelegends/EMANN,Bigetron by Vitality,
17,Second Team Winner,Lyoni,/mobilelegends/Lyoni,Team Liquid ID,
17,Week 1 MVP,Kelra,/mobilelegends/Kelra,ONIC,
17,Week 2 MVP,Arfy,/mobilelegends/Arfy,Alter Ego,
17,Week 3 MVP,Sanz,/mobilelegends/S_A_N_Z,ONIC,
17,Week 4 MVP,Moreno,/mobilelegends/Moreno,Bigetron by Vitality,
17,Week 5 MVP,QINN,/mobilelegends/QINN,Dewa United Esports,
17,Week 6 MVP,S A N Z,/mobilelegends/S_A_N_Z,ONIC,
17,Week 7 MVP,Alberttt,/mobilelegends/Alberttt,EVOS,
17,Week 8 MVP,Aprho,/mobilelegends/index.php?title=Aprho&action=edit&redlink=1,Natus Vincere,
17,Week 9 MVP,Kevinn,/mobilelegends/index.php?title=JOOOOO&action=edit&redlink=1,Team Liquid ID,
17,Week 1 Best Rookie,Drichel,/mobilelegends/index.php?title=Drichel&action=edit&redlink=1,Team Liquid ID,
17,Week 2 Best Rookie,MarceL,/mobilelegends/index.php?title=MarceL&action=edit&redlink=1,Geek Fam ID,
17,Week 3 Best Rookie,Dolynn,/mobilelegends/index.php?title=Dolynn&action=edit&redlink=1,Dewa United Esports,
17,Week 4 Best Rookie,Dolynn,/mobilelegends/index.php?title=Dolynn&action=edit&redlink=1,Dewa United Esports,
17,Week 5 Best Rookie,Dolynn,/mobilelegends/index.php?title=Dolynn&action=edit&redlink=1,Dewa United Esports,
17,Week 6 Best Rookie,MarceL,/mobilelegends/index.php?title=MarceL&action=edit&redlink=1,Geek Fam ID,
17,Week 7 Best Rookie,Nazara,/mobilelegends/index.php?title=Nazara&action=edit&redlink=1,Geek Fam ID,
17,Week 8 Best Rookie,Jiizee,/mobilelegends/index.php?title=Jiizee&action=edit&redlink=1,Natus Vincere,
17,Week 9 Best Rookie,Drichel,/mobilelegends/index.php?title=Drichel&action=edit&redlink=1,Team Liquid ID,
17,Team of The Week #9,Aran,/mobilelegends/Aran,Team Liquid ID,
17,Team of The Week #9,Kevinn,/mobilelegends/index.php?title=JOOOOO&action=edit&redlink=1,Team Liquid ID,
17,Team of The Week #9,Drichel,/mobilelegends/index.php?title=Drichel&action=edit&redlink=1,Team Liquid ID,
17,Team of The Week #9,EMANN,/mobilelegends/EMANN,Bigetron Esports,
17,Team of The Week #9,Lyoni,/mobilelegends/Lyoni,Team Liquid ID,
17,Team of The Week #8,Karss,/mobilelegends/Karss,Natus Vincere,
17,Team of The Week #8,Kairi,/mobilelegends/Kairi,ONIC,
17,Team of The Week #8,Jiizee,/mobilelegends/index.php?title=Jiizee&action=edit&redlink=1,Natus Vincere,
17,Team of The Week #8,Zeonn,/mobilelegends/index.php?title=Zeonn&action=edit&redlink=1,Natus Vincere,
17,Team of The Week #8,Aprho,/mobilelegends/index.php?title=Aprho&action=edit&redlink=1,Natus Vincere,
17,Team of The Week #7,Luke,/mobilelegends/Luke,EVOS,
17,Team of The Week #7,Alberttt,/mobilelegends/Alberttt,EVOS,
17,Team of The Week #7,Pheww,/mobilelegends/Pheww,EVOS,
17,Team of The Week #7,Erlan,/mobilelegends/Erlan,EVOS,
17,Team of The Week #7,Kyy,/mobilelegends/Kyy,EVOS,
17,Team of The Week #6,Lutpii,/mobilelegends/Lutpiii,ONIC,
17,Team of The Week #6,Kairi,/mobilelegends/Kairi,ONIC,
17,Team of The Week #6,S A N Z,/mobilelegends/S_A_N_Z,ONIC,
17,Team of The Week #6,Kelra,/mobilelegends/Kelra,ONIC,
17,Team of The Week #6,Kiboy,/mobilelegends/Kiboy,ONIC,
17,Team of The Week #5,QINN,/mobilelegends/QINN,Dewa United Esports,
17,Team of The Week #5,Dolynn,/mobilelegends/index.php?title=Dolynn&action=edit&redlink=1,Dewa United Esports,
17,Team of The Week #5,Octa,/mobilelegends/Octa,Dewa United Esports,
17,Team of The Week #5,Maybe,/mobilelegends/Maybeee,Dewa United Esports,
17,Team of The Week #5,Muezza,/mobilelegends/Muezzaa,Dewa United Esports,
17,Team of The Week #4,Lutpii,/mobilelegends/Lutpiii,ONIC,
17,Team of The Week #4,Alberttt,/mobilelegends/Alberttt,EVOS,
17,Team of The Week #4,Moreno,/mobilelegends/Moreno,Bigetron by Vitality,
17,Team of The Week #4,Erlan,/mobilelegends/Erlan,EVOS,
17,Team of The Week #4,Kiboy,/mobilelegends/Kiboy,ONIC,
17,Team of The Week #3,MarceL,/mobilelegends/index.php?title=MarceL&action=edit&redlink=1,Geek Fam ID,
17,Team of The Week #3,Dolynn,/mobilelegends/index.php?title=Dolynn&action=edit&redlink=1,Dewa United Esports,
17,Team of The Week #3,Sanz,/mobilelegends/S_A_N_Z,ONIC,
17,Team of The Week #3,KennzyySkie,/mobilelegends/KennzyySkie,Geek Fam ID,
17,Team of The Week #3,Baloyskie,/mobilelegends/Baloyskie,Geek Fam ID,
17,Team of The Week #2,Aran,/mobilelegends/Aran,Team Liquid ID,
17,Team of The Week #2,Kevinn,/mobilelegends/index.php?title=JOOOOO&action=edit&redlink=1,Team Liquid ID,
17,Team of The Week #2,Drichel,/mobilelegends/index.php?title=Drichel&action=edit&redlink=1,Team Liquid ID,
17,Team of The Week #2,Arfy,/mobilelegends/Arfy,Alter Ego,
17,Team of The Week #2,Lyoni,/mobilelegends/Lyoni,Team Liquid ID,
17,Team of The Week #1,Aran,/mobilelegends/Aran,Team Liquid ID,
17,Team of The Week #1,Kairi,/mobilelegends/Kairi,ONIC,
17,Team of The Week #1,S A N Z,/mobilelegends/S_A_N_Z,ONIC,
17,Team of The Week #1,Kelra,/mobilelegends/Kelra,ONIC,
17,Team of The Week #1,Kiboy,/mobilelegends/Kiboy,ONIC,
18,Week 1 MVP,Kevin,/mobilelegends/index.php?title=JOOOOO&action=edit&redlink=1,Team Liquid ID,
18,Week 2 MVP,Nnael,/mobilelegends/Nnael,Bigetron by Vitality,
18,Week 3 MVP,Kevin,/mobilelegends/index.php?title=JOOOOO&action=edit&redlink=1,Team Liquid ID,
18,Week 4 MVP,Dingarai,/mobilelegends/Arfy,Alter Ego,
18,Week 1 Best Rookie,Keven,/mobilelegends/index.php?title=Jull&action=edit&redlink=1,Team Liquid ID,
18,Week 2 Best Rookie,Keven,/mobilelegends/index.php?title=Jull&action=edit&redlink=1,Team Liquid ID,
18,Week 3 Best Rookie,Keven,/mobilelegends/index.php?title=Jull&action=edit&redlink=1,Team Liquid ID,
18,Week 4 Best Rookie,Joshua,/mobilelegends/index.php?title=Coolfire&action=edit&redlink=1,Natus Vincere,
18,Team of The Week #4,Nino,/mobilelegends/Nino,Alter Ego,
18,Team of The Week #4,Joshua,/mobilelegends/index.php?title=Coolfire&action=edit&redlink=1,Natus Vincere,
18,Team of The Week #4,Dalvin,/mobilelegends/Hijumee,Alter Ego,
18,Team of The Week #4,Dingarai,/mobilelegends/Arfy,Alter Ego,
18,Team of The Week #4,Aprho,/mobilelegends/index.php?title=Aprho&action=edit&redlink=1,Natus Vincere,
18,Team of The Week #3,Shogun,/mobilelegends/Shogun,Bigetron by Vitality,
18,Team of The Week #3,Kevin,/mobilelegends/index.php?title=JOOOOO&action=edit&redlink=1,Team Liquid ID,
18,Team of The Week #3,Moreno,/mobilelegends/Moreno,Bigetron by Vitality,
18,Team of The Week #3,Keven,/mobilelegends/index.php?title=Jull&action=edit&redlink=1,Team Liquid ID,
18,Team of The Week #3,Lyoni,/mobilelegends/Lyoni,Team Liquid ID,
18,Team of The Week #2,Shogun,/mobilelegends/Shogun,Bigetron by Vitality,
18,Team of The Week #2,Nnael,/mobilelegends/Nnael,Bigetron by Vitality,
18,Team of The Week #2,Moreno,/mobilelegends/Moreno,Bigetron by Vitality,
18,Team of The Week #2,Zeonn,/mobilelegends/index.php?title=Zeonn&action=edit&redlink=1,Natus Vincere,
18,Team of The Week #2,Finn,/mobilelegends/Finn,Bigetron by Vitality,
18,Team of The Week #1,Aran,/mobilelegends/Aran,Team Liquid ID,
18,Team of The Week #1,Kevin,/mobilelegends/index.php?title=JOOOOO&action=edit&redlink=1,Team Liquid ID,
18,Team of The Week #1,Morenoo,/mobilelegends/Moreno,Bigetron by Vitality,
18,Team of The Week #1,Kelra,/mobilelegends/Kelra,ONIC,
18,Team of The Week #1,Kiboy,/mobilelegends/Kiboy,ONIC,
