season,hero,picks,menang,kalah,win_rate,bans,pick_ban
18,Zilong,0,0,0,,0,0
18,Fanny,12,6,6,50.0,49,61
18,Layla,0,0,0,,0,0
18,Minotaur,17,9,8,53.0,11,28
18,Lolita,0,0,0,,0,0
18,Hayabusa,2,1,1,50.0,1,3
18,Freya,5,4,1,80.0,83,88
18,Gord,0,0,0,,1,1
18,Natalia,0,0,0,,0,0
18,Kagura,0,0,0,,0,0
18,Chou,6,2,4,33.0,4,10
18,Sun,0,0,0,,0,0
18,Alpha,0,0,0,,0,0
18,Ruby,12,6,6,50.0,7,19
18,Yi Sun-Shin,11,4,7,36.0,6,17
18,Moskov,22,13,9,59.0,12,34
18,Johnson,0,0,0,,0,0
18,Cyclops,0,0,0,,0,0
18,Estes,0,0,0,,1,1
18,Hilda,2,2,0,100.0,0,2
18,Aurora,0,0,0,,0,0
18,Lapu-lapu,1,1,0,100.0,0,1
18,Vexana,1,0,1,0.0,5,6
18,Roger,0,0,0,,0,0
18,Karrie,1,0,1,0.0,0,1
18,Gatotkaca,11,5,6,45.0,4,15
18,Harley,14,6,8,43.0,9,23
18,Irithel,0,0,0,,0,0
18,Grock,0,0,0,,0,0
18,Argus,0,0,0,,0,0
18,Odette,2,0,2,0.0,0,2
18,Lancelot,0,0,0,,0,0
18,Diggie,0,0,0,,0,0
18,Hylos,10,7,3,70.0,2,12
18,Zhask,0,0,0,,0,0
18,Helcurt,0,0,0,,0,0
18,Pharsa,5,2,3,40.0,0,5
18,Lesley,0,0,0,,0,0
18,Jawhead,0,0,0,,0,0
18,Angela,2,0,2,0.0,3,5
18,Gusion,0,0,0,,0,0
18,Valir,0,0,0,,0,0
18,Martis,0,0,0,,0,0
18,Uranus,42,20,22,48.0,32,74
18,Hanabi,1,0,1,0.0,3,4
18,Chang'e,0,0,0,,0,0
18,Kaja,3,1,2,33.0,10,13
18,Selena,32,14,18,44.0,31,63
18,Aldous,0,0,0,,0,0
18,Claude,41,20,21,49.0,10,51
18,Vale,0,0,0,,0,0
18,Leomord,0,0,0,,0,0
18,Lunox,3,0,3,0.0,1,4
18,Hanzo,4,2,2,50.0,3,7
18,Belerick,54,25,29,46.0,19,73
18,Kimmy,6,3,3,50.0,2,8
18,Thamuz,0,0,0,,0,0
18,Harith,0,0,0,,0,0
18,Minsitthar,1,0,1,0.0,0,1
18,Kadita,2,0,2,0.0,0,2
18,Faramis,1,0,1,0.0,0,1
18,Badang,8,5,3,63.0,3,11
18,Khufra,1,0,1,0.0,0,1
18,Granger,1,0,1,0.0,0,1
18,Guinevere,1,0,1,0.0,1,2
18,Esmeralda,17,8,9,47.0,17,34
18,Terizla,2,1,1,50.0,0,2
18,X.Borg,0,0,0,,0,0
18,Ling,1,0,1,0.0,1,2
18,Dyrroth,5,3,2,60.0,1,6
18,Lylia,21,10,11,48.0,15,36
18,Baxia,0,0,0,,0,0
18,Masha,4,1,3,25.0,5,9
18,Wanwan,0,0,0,,0,0
18,Silvanna,0,0,0,,0,0
18,Cecilion,3,2,1,67.0,1,4
18,Carmilla,15,9,6,60.0,5,20
18,Atlas,18,11,7,61.0,68,86
18,Popol and Kupa,0,0,0,,0,0
18,Yu Zhong,1,0,1,0.0,0,1
18,Luo Yi,1,0,1,0.0,0,1
18,Benedetta,0,0,0,,0,0
18,Khaleed,1,0,1,0.0,0,1
18,Barats,33,16,17,48.0,33,66
18,Brody,26,8,18,31.0,12,38
18,Yve,0,0,0,,0,0
18,Mathilda,15,8,7,53.0,35,50
18,Paquito,48,25,23,52.0,38,86
18,Gloo,20,11,9,55.0,23,43
18,Beatrix,0,0,0,,0,0
18,Phoveus,2,0,2,0.0,5,7
18,Natan,0,0,0,,0,0
18,Aulus,0,0,0,,0,0
18,Aamon,0,0,0,,0,0
18,Floryn,0,0,0,,0,0
18,Valentina,15,6,9,40.0,7,22
18,Edith,0,0,0,,0,0
18,Yin,0,0,0,,0,0
18,Melissa,34,18,16,53.0,53,87
18,Xavier,0,0,0,,0,0
18,Julian,0,0,0,,0,0
18,Fredrinn,1,0,1,0.0,0,1
18,Joy,0,0,0,,0,0
18,Arlott,3,2,1,67.0,6,9
18,Novaria,17,10,7,59.0,38,55
18,Ixia,1,1,0,100.0,0,1
18,Nolan,16,10,6,63.0,13,29
18,Cici,0,0,0,,0,0
18,Chip,7,1,6,14.0,18,25
18,Zhuxin,10,4,6,40.0,12,22
18,Suyou,11,4,7,36.0,1,12
18,Lukas,0,0,0,,0,0
18,Kalea,2,1,1,50.0,1,3
18,Zetian,5,4,1,80.0,2,7
18,Obsidia,11,7,4,64.0,3,14
18,Sora,7,3,4,43.0,3,10
18,Marcel,11,6,5,55.0,71,82
18,Hirara,65,37,28,57.0,20,85
